RA,DEC,GLON,GLAT,Variability_Index,Conf_95_PosAng,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
215.63,-61.63,313.53,-0.65,2.3421216,-48.8,54.326,-26.749403,1.893063,0.0,2.9535904,0.9807366,0.4117107,0.110840924,-0.24140519,YNG
217.49,-59.19,315.26,1.3,2.4184299,25.76,82.08,-26.34758,2.2839086,0.0,3.0322409,0.10005908,-0.09541304,-0.39692333,-0.45644245,YNG
221.86,-57.95,317.84,1.52,2.3170795,-26.75,21.703,-26.686724,2.524934,0.0,2.1357682,0.15334626,-0.21188347,-0.7210767,0.17415702,YNG
224.88,-60.89,317.89,-1.79,2.2492397,9.67,75.236,-26.373821,2.3246152,0.0,3.0480294,0.0763615,-0.14503981,-0.4123332,-0.26909986,YNG
227.36,-58.84,319.98,-0.62,2.8609488,-55.12,76.887,-26.151644,2.158596,0.0,3.039776,0.14528413,0.09529246,-0.2402093,-0.6599608,YNG
230.49,-57.59,322.04,-0.41,1.6686301,21.64,53.197,-26.265512,2.2607791,0.0,2.8538105,0.24920294,-0.017213233,-0.4276627,-0.44793984,YNG
232.11,-58.63,322.17,-1.75,1.8222636,84.4,29.812,-27.239578,1.9911475,0.0,2.3478131,0.8127043,0.26106527,-0.22598813,-0.5628321,YNG
232.9,-56.21,323.89,-0.0,1.8970124,83.03,14.396,-26.512863,2.3926668,0.0,1.9474115,0.9999973,0.20659812,-0.56700563,-0.13702828,YNG
243.54,-50.79,332.21,0.19,2.5228415,45.24,6.525,-25.458014,2.6629364,0.0,1.1601112,-0.28047323,-0.1340706,-0.36089447,-0.10351017,YNG
243.83,-51.61,331.77,-0.54,2.3127768,74.44,24.878,-26.589827,2.1048083,0.0,2.4960392,0.96675116,0.21296416,0.07281462,0.011170925,YNG
245.18,-49.46,333.89,0.4,2.0965343,-51.48,81.804,-26.026752,1.9739164,0.0,3.2332494,0.11431565,0.33022392,0.006645427,-0.47419882,YNG
245.75,-50.08,333.72,-0.29,1.7701596,-25.73,39.783,-26.093494,2.023102,0.0,2.4239366,0.8447294,0.39424828,0.0070850574,-0.53980666,YNG
246.04,-40.71,340.55,6.14,2.6667058,-22.15,43.502,-27.264122,2.0506485,0.0,2.6329072,0.16760647,0.09828961,-0.35276118,-0.44998354,YNG
250.32,-53.3,333.29,-4.56,2.530342,-58.54,29.919,-27.486,2.1378944,0.0,2.3636353,0.80779606,0.04254852,-0.48335993,-0.14868559,YNG
252.11,-46.2,339.44,-0.81,2.5608475,45.38,33.533,-26.293098,2.0554311,0.0,2.426817,0.9286947,0.3772963,-0.04320751,-0.38277173,YNG
252.6,-46.02,339.8,-0.95,2.6266418,23.9,30.504,-25.87455,2.3839755,0.0,2.4236016,0.49303398,0.012702815,-0.27002072,-0.22923042,YNG
255.74,-41.53,344.72,0.08,2.0121024,36.32,10.333,-25.861176,2.7512083,0.0,1.6846651,0.9155996,0.14296493,-0.5576849,-86.32774,YNG
256.4,-19.17,3.14,12.99,2.3953013,-68.31,9.685,-27.985096,2.671918,0.0,1.7390007,0.9988409,0.06139621,-0.7087604,-6.9749575,YNG
257.43,-44.49,343.1,-2.69,2.4137733,-26.03,431.37,-25.43671,2.2109447,0.0,4.4898586,0.2565978,0.088955715,-0.19667059,-0.584934,YNG
258.61,-38.51,348.45,0.12,2.3972518,23.71,30.777,-25.418215,2.493553,0.0,2.0977328,-0.09409834,0.044530805,-0.26797324,-2.5968826,YNG
259.56,-38.43,348.95,-0.44,1.2881731,-3.27,47.799,-25.742506,2.5298193,0.0,2.722714,0.20469981,-0.12438976,-0.38909957,-0.20804238,YNG
260.21,-19.63,4.82,9.77,3.0659232,41.93,6.868,-27.67452,2.449716,0.0,-0.07657579,0.0671749,-0.46864602,0.15485828,0.35530147,MSP
262.64,-33.88,354.11,0.07,2.5710578,-77.01,12.948,-25.625504,2.7651951,0.0,1.5885904,-0.24843764,-0.3199291,-0.44431412,0.410606,YNG
262.93,-47.74,342.56,-7.67,2.117802,,4.551,-27.451532,2.7969165,0.0,1.1540102,-0.045901366,-0.8428502,-0.003772699,-0.77334654,YNG
263.15,-31.52,356.31,1.01,1.9740688,-75.39,109.628,-26.020887,2.2535415,0.0,3.5951056,0.6343327,0.37402388,-0.18790627,-0.59334373,YNG
264.03,-34.38,354.31,-1.17,2.8697145,7.57,18.41,-26.663471,2.1424522,0.0,1.8400114,0.77132523,0.36078066,-0.18088874,-0.21029063,YNG
264.87,-30.26,358.17,0.44,2.5661268,0.94,11.242,-26.025671,2.6155245,0.0,1.8274271,0.9954362,0.32696116,-0.5823993,-0.045013394,YNG
265.15,10.1,34.12,20.27,1.8727376,41.13,6.743,-27.924774,2.8343668,0.0,0.72763956,-0.34037536,-0.6572295,-0.25548694,0.6503883,YNG
265.49,-20.9,6.43,4.91,1.8100955,-64.2,116.301,-26.68156,2.3753157,0.0,3.7487943,0.29958263,-0.017618505,-0.7513443,-1.3051357,YNG
265.58,-33.31,355.91,-1.69,2.5348697,-67.69,16.239,-26.721428,2.3687828,0.0,1.8429416,0.99808866,0.24954744,-0.37050828,-2.0111747,YNG
266.72,-32.66,356.95,-2.17,1.1681097,-42.74,39.078,-26.507027,2.3589065,0.0,2.828927,0.72964174,0.119558536,-0.3176834,-0.1746325,YNG
266.82,-29.96,359.31,-0.85,3.3585703,36.47,36.95,-25.266745,2.8723178,0.0,2.8031938,0.14066923,-0.18121631,-0.43173233,-0.1319678,YNG
269.49,-24.33,5.37,-0.02,2.6129465,-84.47,6.868,-25.888582,2.4474428,0.0,0.060034964,0.89234674,-0.41136435,-0.5183804,2.6288097,YNG
270.32,-24.85,5.29,-0.93,1.4896878,-88.23,19.3,-26.147552,2.328215,0.0,1.7343473,-0.048328273,-0.015073607,-0.18735999,0.1110582,YNG
270.78,-21.81,8.15,0.2,2.5367415,-72.34,36.37,-25.676405,2.241336,0.0,2.3792517,0.44045404,0.03648559,-0.17918666,-0.6411864,YNG
272.13,-37.03,355.34,-8.18,2.7629852,23.7,11.98,-27.924986,2.3773313,0.0,1.470112,0.5957571,-0.10807449,-0.4740326,0.32664832,MSP
272.46,-23.54,7.39,-2.0,2.6289792,19.96,188.9,-25.47106,2.3119369,0.0,3.8318412,0.2962852,0.09144119,-0.25948706,-0.629545,YNG
272.89,-19.43,11.19,-0.36,2.5513208,8.53,6.103,-27.014654,2.146314,0.0,1.0649463,-0.9812815,0.9823628,0.9825643,0.62490624,MSP
273.35,-12.77,17.24,2.44,2.1088502,-16.93,124.212,-25.859165,2.4892082,0.0,3.3967426,0.08702452,-0.12541297,-0.47641516,-0.57064956,YNG
274.29,-17.7,13.34,-0.71,1.6868727,74.46,16.955,-26.211744,2.2726667,0.0,1.8057007,-0.18301599,0.15328197,-0.30902264,-0.38905457,YNG
276.54,-12.94,18.56,-0.38,2.1917248,10.2,112.134,-24.79938,2.498841,0.0,3.529841,0.064307615,0.013382403,-0.3384701,-0.63573235,YNG
276.87,-14.76,17.1,-1.51,2.115226,-76.83,22.097,-27.031576,2.30244,0.0,2.3918626,0.9978069,0.6202297,-0.22617863,0.010228461,YNG
277.1,-11.0,20.54,0.04,2.5542974,7.11,11.708,-25.532038,2.795534,0.0,1.3833913,-0.1639149,-0.41524878,-0.4444116,0.38013586,YNG
277.72,-9.79,21.88,0.06,2.339281,28.94,14.967,-25.54046,3.0703976,0.0,2.267996,-0.105985284,-0.36039218,-0.85591906,0.677126,YNG
278.38,-10.56,21.51,-0.87,1.8199927,-51.44,36.698,-25.792683,2.3742936,0.0,2.08495,0.18484071,-0.1551933,-0.3465147,-0.29910544,YNG
279.06,59.43,88.88,25.0,2.6556418,-65.66,587.57,-26.656605,2.0073266,0.0,4.9581017,0.38910347,0.15799281,-0.30478013,-0.6906909,YNG
279.47,-6.08,25.98,0.23,2.5667026,-60.42,10.576,-25.584421,2.645578,0.0,1.3460333,0.76415795,-0.20089999,-0.32320943,-0.6390181,YNG
279.75,-5.62,26.51,0.2,2.0343423,88.95,36.488,-25.178087,2.4452317,0.0,2.5643718,-0.043971494,-0.071775645,-0.17838728,-0.6460024,YNG
281.12,-3.76,28.79,-0.17,3.070169,24.88,26.328,-25.977621,2.3557837,0.0,2.454865,0.9589186,0.22815768,-0.3210791,-0.60992867,YNG
281.6,9.33,40.69,5.35,2.9954157,15.25,69.256,-27.550816,1.7232773,0.0,3.0298154,0.38364145,0.28674906,-0.12532863,-0.37815914,YNG
283.35,-0.09,33.08,-0.48,3.0745661,-20.25,7.077,-27.21642,2.1576467,0.0,1.338598,0.9997344,0.7788476,0.030799367,-0.4416399,YNG
284.41,1.73,35.18,-0.59,2.8485744,-23.69,11.231,-26.028652,2.4984307,0.0,1.8621235,-0.07564965,0.4878124,-0.36814904,-2.33695,YNG
286.61,7.4,41.22,0.06,2.3581939,-61.28,28.391,-25.623455,2.6384835,0.0,2.3624372,0.99546945,-0.16359365,-0.37338915,-3.0256727,YNG
286.98,6.04,40.18,-0.9,2.8504694,-50.79,131.041,-25.601973,2.3724525,0.0,3.488819,0.23876514,0.014868895,-0.3007502,-0.53879094,YNG
288.35,9.09,43.52,-0.69,2.615176,6.64,18.201,-26.511501,2.2073047,0.0,2.1121542,-0.4433636,0.28228378,-0.19507441,-0.31673497,YNG
288.35,10.33,44.61,-0.12,2.5068793,11.83,11.332,-26.585974,2.1674378,0.0,0.4325441,0.930661,0.2507156,-0.20032093,-0.9768406,YNG
291.32,17.48,52.29,0.69,2.848592,-61.68,8.246,-26.599676,2.6575308,0.0,1.6174417,-0.023394562,6.206519e-05,-0.53504974,0.18610188,YNG
293.08,19.27,54.65,0.08,2.599687,1.27,45.286,-26.168219,2.5014567,0.0,2.7876022,0.23222016,-0.079979725,-0.4952026,-0.58951074,YNG
293.06,22.36,57.35,1.58,3.1469615,3.08,6.558,-27.148397,2.3792517,0.0,1.1292733,0.98759556,-0.0753616,-0.30036634,-0.23658606,YNG
293.82,20.49,56.06,0.07,3.6047282,-48.4,15.461,-26.484365,2.7174358,0.0,2.0045965,0.07837355,-0.26613924,-0.6035069,-0.0023727352,YNG
298.25,32.88,68.77,2.82,2.0434365,40.91,84.379,-26.224764,2.3499322,0.0,3.3606992,0.27813867,0.023118783,-0.2969215,-0.55713683,YNG
298.59,28.6,65.25,0.37,2.590311,80.13,91.071,-26.506556,2.124695,0.0,3.1332245,0.23384927,0.059415363,-0.28256005,-0.91958934,YNG
299.41,50.56,84.59,11.02,2.571384,56.38,76.046,-27.823477,2.0162823,0.0,3.2144237,0.36138907,-0.113076776,-0.7564426,-0.56079566,YNG
299.68,28.77,65.89,-0.36,2.4161649,-7.97,97.329,-26.607918,2.1089165,0.0,3.320956,0.29359686,0.056026764,-0.366863,-0.7076789,YNG
301.57,31.04,68.69,-0.54,1.7970932,-7.82,16.351,-27.266012,2.119106,0.0,1.8948557,0.6159934,0.17881614,-0.27768332,-0.48127016,YNG
304.49,36.43,74.52,0.39,2.662009,25.07,57.785,-26.191921,2.3265865,0.0,2.967256,0.20709343,0.07357018,-0.4799028,-1.6796429,YNG
305.28,36.86,75.23,0.11,1.9078386,86.7,208.308,-25.58928,2.3814964,0.0,4.064122,0.27376178,0.05726534,-0.33379284,-0.78283554,YNG
305.39,40.44,78.23,2.08,5.6903954,-31.7,145.661,-25.213799,2.546685,0.0,4.123112,0.37945753,-0.0014122301,-0.43473724,-0.65617424,YNG
305.58,38.67,76.86,0.94,2.3437555,70.63,16.949,-26.273474,2.6641183,0.0,1.872333,-0.2067248,-0.29114476,-0.45187888,0.1632319,YNG
307.08,33.53,73.36,-3.01,2.4905102,8.37,68.273,-27.041828,1.9627247,0.0,3.3248026,0.99940586,0.25673863,-0.4130057,-0.6598548,YNG
307.51,36.69,76.12,-1.45,2.4756978,14.23,62.283,-27.093515,1.9052845,0.0,3.059679,0.64640826,0.30736515,-0.2536107,-0.6659929,YNG
307.73,44.27,82.35,2.88,1.9861224,-85.97,52.737,-26.85685,2.1193495,0.0,2.9653776,0.19686592,0.15268008,-0.54418623,-1.2691462,YNG
308.06,41.46,80.23,1.02,3.263636,59.2,111.514,-26.086458,2.0981717,0.0,3.2529275,0.40141138,0.274796,-0.023989115,-0.64151317,YNG
310.93,27.69,70.62,-9.15,3.895892,65.91,27.475,-27.966208,2.0977042,0.0,2.2838871,0.22471218,-0.0347096,-0.68404084,-2.0586083,YNG
313.96,25.67,70.7,-12.52,2.5198667,-44.11,123.321,-27.687181,2.0802097,0.0,3.6473205,0.4254258,0.12302637,-0.5311589,-0.3759209,YNG
317.86,46.1,88.31,-1.45,2.4518626,15.6,78.372,-27.253933,2.008295,0.0,2.819911,0.2513008,0.031724516,-0.17632051,-0.4033594,YNG
319.06,37.03,82.3,-8.34,2.351915,43.44,16.444,-27.926977,2.3043056,0.0,1.9682636,0.22415157,-0.052840073,-0.6857408,-15.961812,MSP
325.0,47.27,92.64,-4.03,2.4953458,39.73,59.341,-27.640661,1.9892852,0.0,3.0674067,0.3340204,0.052826777,-0.6468602,-2.0323358,YNG
332.04,40.97,92.62,-12.09,3.7000709,-37.88,8.51,-27.688654,2.9675586,0.0,1.4174352,0.020034917,-0.7004382,-0.22503877,0.306418,YNG
337.27,61.24,106.65,2.95,2.334176,-13.75,168.595,-26.4503,2.316082,0.0,3.6883872,0.15046392,-0.017347917,-0.28192842,-0.6570399,YNG
339.63,59.06,106.56,0.48,2.6112893,-45.2,73.536,-26.818226,2.2916174,0.0,3.0047245,0.17328773,-0.07086083,-0.39496702,-0.7317369,YNG
340.17,58.55,106.56,-0.1,1.7220466,-33.51,16.77,-27.288675,2.2753763,0.0,1.727267,0.122435935,0.062480785,-0.2705641,-0.7120855,YNG
